Player,Pos,MP,Min
Hamza Abdelkarim,FW,4,60.0
Hossam Abdelmaguid,DF,2,59.0
Mohamed Abdelmonem,DF,2,14.0
Ali Abdi,DF,3,269.0
Saud Abdulhamid,DF,3,269.0
Abdulla Abdullaev,DF,2,180.0
Yusuf Abdurisag,FW,2,98.0
Husam Abu Dahab,DF,2,178.0
Mohammad Abu Hasheesh,DF,1,6.0
Mohannad Abu Taha,DF,3,264.0
Mo Abualnadi,DF,1,71.0
Ché Adams,FW,3,145.0
Ricardo Adé,DF,3,270.0
Jonas Adjetey,DF,3,225.0
Emmanuel Agbadou,DF,3,270.0
Rodrigo Aguirre,FW,1,1.0
Homam Ahmed,DF,2,122.0
Rayan Aït-Nouri,DF,4,284.0
Kristoffer Ajer,DF,5,480.0
Manuel Akanji,DF,6,600.0
Nathan Aké,DF,3,170.0
Kerem Aktürkoğlu,FW,2,129.0
Ahmed Alaaeldin,FW,2,43.0
David Alaba,DF,4,275.0
Omar Alderete,DF,4,320.0
Almoez Ali,FW,1,19.0
Hussein Ali,DF,2,162.0
Mohanad Ali,FW,1,13.0
Ali Alipour,FW,1,38.0
Júnior Alonso,DF,5,390.0
Julián Álvarez,FW,8,602.0
Azizbek Amonov,FW,1,14.0
Abdulelah Al-Amri,DF,3,239.0
Andrés Andrade Cedeño,DF,3,270.0
Fredrik André Bjørkan,DF,1,45.0
Yazan Al-Arab,DF,3,270.0
Tomás Araújo,DF,1,90.0
Álex Arce,FW,2,53.0
Santiago Arias,DF,1,86.0
Marko Arnautović,FW,4,144.0
Rustam Ashurmatov,DF,3,256.0
Gabriel Ávalos,FW,4,141.0
Oğuz Aydın,DF,1,89.0
Jordan Ayew,FW,4,300.0
Cédric Bakambu,FW,3,190.0
Fabián Balbuena,DF,1,1.0
Folarin Balogun,FW,4,312.0
Abdülkerim Bardakcı,DF,3,265.0
Samed Baždar,FW,1,29.0
Riechedly Bazoer,DF,1,90.0
Zineddine Belaïd,DF,2,25.0
Rafik Belghali,DF,4,331.0
Nadhir Benbouali,FW,1,45.0
Gilson Benchimol,FW,2,78.0
Ramy Bensebaini,DF,4,360.0
Tyler Bindon,DF,3,97.0
Oscar Bobb,FW,6,225.0
Moïse Bombito,DF,3,193.0
Ange-Yoan Bonny,FW,4,234.0
Adil Boulbina,FW,2,19.0
Nawaf Boushal,DF,2,91.0
Michael Boxall,DF,3,207.0
Sultan Al-Brake,DF,2,141.0
Joshua Brenet,DF,2,179.0
Brian Brobbey,FW,4,223.0
Dylan Bronn,DF,1,45.0
Nathaniel Brown,DF,3,282.0
Ante Budimir,FW,3,155.0
Firas Al-Buraikan,FW,3,238.0
Cameron Burgess,DF,2,135.0
Dan Burn,DF,3,35.0
Jovane Cabral,FW,2,139.0
Liberato Cacace,DF,3,220.0
Juan Cáceres,DF,5,436.0
Sebastián Cáceres,DF,3,270.0
Jordy Caicedo,FW,3,20.0
José Canale,DF,4,161.0
João Cancelo,DF,5,312.0
Agustín Canobbio,FW,3,224.0
Timothy Castagne,DF,6,478.0
Zeki Çelik,DF,2,163.0
Štěpán Chaloupek,DF,1,90.0
Firas Chaouat,FW,3,49.0
Mateo Chávez,DF,1,77.0
Samir Chergui,DF,1,20.0
Tomáš Chorý,FW,2,31.0
Mojmír Chytil,FW,1,7.0
Alessandro Circati,DF,4,390.0
Pathé Ciss,DF,4,184.0
Eray Cömert,DF,1,31.0
Jhon Córdoba,FW,3,99.0
José Córdoba,DF,3,270.0
Derek Cornelius,DF,4,315.0
Nuno da Costa,FW,4,159.0
Pau Cubarsí,DF,8,750.0
Marc Cucurella,DF,8,750.0
Matheus Cunha,FW,5,290.0
Danilo,DF,5,405.0
Kevin Danso,DF,4,241.0
Jonathan David,FW,5,420.0
Promise David,FW,4,80.0
Erick Davis,DF,2,4.0
Maxim De Cuyper,DF,6,442.0
Luc De Fougerolles,DF,5,372.0
Amar Dedić,DF,3,270.0
Hannes Delcroix,DF,3,270.0
Merih Demiral,DF,2,180.0
Ermedin Demirović,FW,4,354.0
Frans Dhia Putros,DF,1,90.0
Oumar Diakité,FW,2,28.0
