Player,Pos,Squad,MP,Min
Hamza Abdelkarim,FW,Egypt,4,60
Hossam Abdelmaguid,DF,Egypt,2,59
Mohamed Abdelmonem,DF,Egypt,2,14
Ali Abdi,DF,Tunisia,3,269
Saud Abdulhamid,DF,Saudi Arabia,3,269
Abdulla Abdullaev,DF,Uzbekistan,2,180
Yusuf Abdurisag,FW,Qatar,2,98
Husam Abu Dahab,DF,Jordan,2,178
Mohammad Abu Hasheesh,DF,Jordan,1,6
Mohannad Abu Taha,DF,Jordan,3,264
Mo Abualnadi,DF,Jordan,1,71
Elias Achouri,"FW,MF",Tunisia,3,43
Ché Adams,FW,Scotland,3,145
Ricardo Adé,DF,Haiti,3,270
Simon Adingra,"FW,MF",Côte d'Ivoire,1,16
Jonas Adjetey,DF,Ghana,3,225
Michel Aebischer,"MF,FW",Switzerland,4,156
Akram Afif,"FW,MF",Qatar,3,238
Emmanuel Agbadou,DF,Côte d'Ivoire,3,270
Rodrigo Aguirre,FW,Uruguay,1,1
Homam Ahmed,DF,Qatar,2,122
Rayan Aït-Nouri,DF,Algeria,4,284
Kristoffer Ajer,DF,Norway,5,480
Manuel Akanji,DF,Switzerland,6,600
Nathan Aké,DF,Netherlands,3,170
Kerem Aktürkoğlu,FW,Türkiye,2,129
Ahmed Alaaeldin,FW,Qatar,2,43
David Alaba,DF,Austria,4,275
Omar Alderete,DF,Paraguay,4,320
Almoez Ali,FW,Qatar,1,19
Hussein Ali,DF,Iraq,2,162
Mohanad Ali,FW,Iraq,1,13
Taha Ali,"FW,MF",Sweden,2,37
Ali Alipour,FW,IR Iran,1,38
Miguel Almirón,"MF,FW",Paraguay,4,282
Júnior Alonso,DF,Paraguay,5,390
Barış Alper Yılmaz,"MF,FW",Türkiye,3,179
Roberto Alvarado,"FW,MF",Mexico,5,428
Edson Álvarez,"MF,DF",Mexico,4,240
Julián Álvarez,FW,Argentina,8,602
Zeki Amdouni,"FW,MF",Switzerland,4,73
Michael Amir Murillo,"DF,MF",Panama,3,270
Azizbek Amonov,FW,Uzbekistan,1,14
Mohamed Amoura,"FW,MF",Algeria,1,27
Abdulelah Al-Amri,DF,Saudi Arabia,3,239
Andrés Andrade Cedeño,DF,Panama,3,270
Fredrik André Bjørkan,DF,Norway,1,45
Waldemar Anton,"DF,MF",Germany,2,50
Jeremy Antonisse,"FW,MF",Curaçao,2,75
Oswin Appollis,"MF,FW",South Africa,4,255
Yazan Al-Arab,DF,Jordan,3,270
Maxi Araújo,"FW,MF",Uruguay,3,250
Tomás Araújo,DF,Portugal,1,90
Álex Arce,FW,Paraguay,2,53
Carlens Arcus,"MF,DF",Haiti,3,146
Santiago Arias,DF,Colombia,1,86
Marko Arnautović,FW,Austria,4,144
Rustam Ashurmatov,DF,Uzbekistan,3,256
Fredrik Aursnes,"MF,DF",Norway,6,304
Gabriel Ávalos,FW,Paraguay,4,141
Oğuz Aydın,DF,Türkiye,1,89
Jordan Ayew,FW,Ghana,4,300
Kaan Ayhan,"DF,MF",Türkiye,1,3
Álex Baena,"MF,FW",Spain,7,481
Cédric Bakambu,FW,Congo DR,3,190
Fabián Balbuena,DF,Paraguay,1,1
Folarin Balogun,FW,USA,4,312
Simon Banza,"FW,MF",Congo DR,2,40
Valentín Barco,"DF,MF",Argentina,1,20
Abdülkerim Bardakcı,DF,Türkiye,3,265
Martin Baturina,"MF,FW",Croatia,4,321
Ibrahim Bayesh,"MF,FW",Iraq,3,235
Samed Baždar,FW,Bosnia–Herz,1,29
Riechedly Bazoer,DF,Curaçao,1,90
Maximilian Beier,"FW,MF",Germany,1,27
Zineddine Belaïd,DF,Algeria,2,25
Rafik Belghali,DF,Algeria,4,331
Mortadha Ben Ouanes,"DF,MF",Tunisia,1,23
Anis Ben Slimane,"MF,FW",Tunisia,3,240
Nadhir Benbouali,FW,Algeria,1,45
Gilson Benchimol,FW,Cabo Verde,2,78
Ramy Bensebaini,DF,Algeria,4,360
Tyler Bindon,DF,New Zealand,3,97
César Blackman,"MF,DF",Panama,2,178
Oscar Bobb,FW,Norway,6,225
Moïse Bombito,DF,Canada,3,193
Theo Bongonda,"FW,MF",Congo DR,2,34
Ange-Yoan Bonny,FW,Côte d'Ivoire,4,234
Jordy Bos,"MF,DF",Australia,4,308
Adil Boulbina,FW,Algeria,2,19
Nawaf Boushal,DF,Saudi Arabia,2,91
Michael Boxall,DF,New Zealand,3,207
Sultan Al-Brake,DF,Qatar,2,141
Joshua Brenet,DF,Curaçao,2,179
Brian Brobbey,FW,Netherlands,4,223
Dylan Bronn,DF,Tunisia,1,45
Nathaniel Brown,DF,Germany,3,282
Ante Budimir,FW,Croatia,3,155
Firas Al-Buraikan,FW,Saudi Arabia,3,238
Cameron Burgess,DF,Australia,2,135
Dan Burn,DF,England,3,35
Gustavo Caballero,"FW,MF",Paraguay,2,96
Jovane Cabral,FW,Cabo Verde,2,139
Liberato Cacace,DF,New Zealand,3,220
Juan Cáceres,DF,Paraguay,5,436
Sebastián Cáceres,DF,Uruguay,3,270
Jordy Caicedo,FW,Ecuador,3,20
Jaminton Campaz,"FW,MF",Colombia,3,75
José Canale,DF,Paraguay,4,161
João Cancelo,DF,Portugal,5,312
Agustín Canobbio,FW,Uruguay,3,224
Timothy Castagne,DF,Belgium,6,478
Zeki Çelik,DF,Türkiye,2,163
Trevoh Chalobah,"DF,MF",England,1,1
Štěpán Chaloupek,DF,Czechia,1,90
Firas Chaouat,FW,Tunisia,3,49
Mateo Chávez,DF,Mexico,1,77
Samir Chergui,DF,Algeria,1,20
Tomáš Chorý,FW,Czechia,2,31
Mojmír Chytil,FW,Czechia,1,7
Brian Cipenga,"MF,FW",Congo DR,2,146
Alessandro Circati,DF,Australia,4,390
Pathé Ciss,DF,Senegal,4,184
Eray Cömert,DF,Switzerland,1,31
Jhon Córdoba,FW,Colombia,3,99
José Córdoba,DF,Panama,3,270
Derek Cornelius,DF,Canada,4,315
Nuno da Costa,FW,Cabo Verde,4,159
Vladimír Coufal,"MF,DF",Czechia,3,270
Pau Cubarsí,DF,Spain,8,750
Cucho,"FW,MF",Colombia,2,50
Marc Cucurella,DF,Spain,8,750
Matheus Cunha,FW,Brazil,5,290
Diogo Dalot,"DF,MF",Portugal,2,65
Danilo,DF,Brazil,5,405
Kevin Danso,DF,Austria,4,241
Jonathan David,FW,Canada,5,420
Promise David,FW,Canada,4,80
Alphonso Davies,"DF,FW",Canada,1,16
Erick Davis,DF,Panama,2,4
Mohammad Al-Dawud,"FW,MF",Jordan,1,3
Maxim De Cuyper,DF,Belgium,6,442
Luc De Fougerolles,DF,Canada,5,372
Charles De Ketelaere,"FW,MF",Belgium,5,350
Amar Dedić,DF,Bosnia–Herz,3,270
Hannes Delcroix,DF,Haiti,3,270
Merih Demiral,DF,Türkiye,2,180
Ermedin Demirović,FW,Bosnia–Herz,4,354
Frans Dhia Putros,DF,Iraq,1,90
Oumar Diakité,FW,Côte d'Ivoire,2,28
Amad Diallo,"MF,FW",Côte d'Ivoire,4,185
